OCID,TENDER_ID,NOMENCLATURA,DESCRIPCION,TIPO,CATEGORIA,ENTIDAD,VALOR,MONEDA,FECHA_PUB,NUM_POSTORES,GANADOR,MONTO_ADJ,CONTRATO
ocds-dgv273-seacev3-2024-2407-178,1083626,LP-SM-31-2024-ELSE-1,AMPLIACIÓN DEL SERVICIO DE SUMINISTRO ELÉCTRICO DOMICILIARIO EN ZONAS RURALES EN 5 UNIDADES PRODUCTORAS 5 DISTRITOS DE 4 PROVINCIAS DEL DEPARTAMENTO DE CUSCO,Licitación Pública,works,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,6450688.82,PEN,2024-12-27T10:40:00-05:00,63,CONSORCIO EJECUTORES,5805619.94,055-2025
ocds-dgv273-seacev3-2024-2407-35,1080797,CP-SM-15-2024-ELSE-1,SERVICIO DE ATENCION DE AVERIAS 2025-2026 ABANCAY,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,6428675.8,PEN,2024-12-18T12:05:00-05:00,21,PROCIEL S.R.LTDA,6964788.06,054-2025
ocds-dgv273-seacev3-2024-2407-39,1082835,CP-SM-19-2024-ELSE-1,SERVICIO DE LIMPIEZA DE FRANJA DE SERVIDUMBRE Y TALA DE ARBOLES EN LA GERENCIA REGIONAL DE MADRE DE DIOS,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,5167580.0,PEN,2024-12-26T12:10:00-05:00,36,PROCIEL S.R.LTDA,3619220.0,052-2025
ocds-dgv273-seacev3-2024-2407-177,1084108,CP-SM-71-2024-ELSE-1,SERVICIO DE INVENTARIO DE DOCUMENTOS ARCHIVÍSTICOS CUSCO,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,790796.16,PEN,2024-12-27T18:12:00-05:00,30,GESTION DOCUMENTAL CERESP S.A.C.,688814.28,057-2025
ocds-dgv273-seacev3-2024-2407-48,1077069,CP-SM-28-2024-ELSE-1,MANTENIMIENTO DE ACOMETIDAS DE LA GERENCIA REGIONAL MADRE DE DIOS.,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,1347208.47,PEN,2024-12-05T10:00:00-05:00,25,CONSORCIO REDELECTRICO,875870.0,043-2025
ocds-dgv273-seacev3-2024-2407-40,1083598,CP-SM-20-2024-ELSE-1,SERVICIO DE MANTENIMIENTO 2025 - 2026 ANDAHUAYLAS,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,5735507.06,PEN,2024-12-27T09:42:00-05:00,22,CONSTRUCTION & MAINT.ENGINEERING S.A.C.,5385735.0,046-2025
ocds-dgv273-seacev3-2024-2407-42,1080835,CP-SM-22-2024-ELSE-1,SERVICIO DE ATENCION DE AVERIAS 2025-2026 ANDAHUAYLAS,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,4565410.68,PEN,2024-12-18T12:54:00-05:00,21,CONSTRUCTION & MAINT.ENGINEERING S.A.C.,3389904.0,045-2025
ocds-dgv273-seacev3-2024-2407-31,1082852,CP-SM-11-2024-ELSE-1,SERVICIO DE MANTENIMIENTO 2025 2026 ABANCAY,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,7922881.34,PEN,2024-12-26T12:48:00-05:00,22,CONSORCIO TELPERU,7308172.0,044-2025
ocds-dgv273-seacev3-2024-2407-52,1079780,CP-SM-32-2024-ELSE-1,SERVICIO DE EJECUCIÓN DE SANEAMIENTO DE ACOMETIDA APURÍMAC 2024,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,1316635.64,PEN,2024-12-16T15:55:00-05:00,18,MARONS ELECTRIC E.I.R.L.,1444607.4,040-2025
ocds-dgv273-seacev3-2024-2407-109,1075730,CP-SM-68-2024-ELSE-1,SERVICIO DE INSPECCION TERMOGRÁFICA,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,942110.0,PEN,2024-12-03T10:03:00-05:00,26,LJE CONTRATISTAS GENERALES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,799922.0,036-2025
