NOMENCLATURA,CONVOCATORIA_INICIO,CONVOCATORIA_FIN,CONSULTAS_INICIO,CONSULTAS_FIN,BUENA_PRO
LP-SM-31-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-15T23:59:00-05:00,2025-02-25T00:00:00-05:00
CP-SM-15-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-09T23:59:00-05:00,2025-02-19T00:00:00-05:00
CP-SM-19-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-14T23:59:00-05:00,2025-02-18T00:00:00-05:00
CP-SM-71-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-16T23:59:00-05:00,2025-03-03T00:00:00-05:00
CP-SM-28-2024-ELSE-1,2024-12-05T00:00:00-05:00,2024-12-05T00:00:00-05:00,2024-12-06T00:01:00-05:00,2024-12-26T23:59:00-05:00,2025-02-12T00:00:00-05:00
CP-SM-20-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-15T23:59:00-05:00,2025-02-21T00:00:00-05:00
CP-SM-22-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-09T23:59:00-05:00,2025-02-18T00:00:00-05:00
CP-SM-11-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-14T23:59:00-05:00,2025-02-11T00:00:00-05:00
CP-SM-32-2024-ELSE-1,2024-12-16T00:00:00-05:00,2024-12-16T00:00:00-05:00,2024-12-17T00:01:00-05:00,2025-01-07T23:59:00-05:00,2025-02-10T00:00:00-05:00
CP-SM-68-2024-ELSE-1,2024-12-03T00:00:00-05:00,2024-12-03T00:00:00-05:00,2024-12-04T00:01:00-05:00,2024-12-19T23:59:00-05:00,2025-01-28T00:00:00-05:00
CP-SM-74-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-14T23:59:00-05:00,2025-02-25T00:00:00-05:00
CP-SM-52-2024-ELSE-1,2024-12-05T00:00:00-05:00,2024-12-05T00:00:00-05:00,2024-12-06T00:01:00-05:00,2024-12-27T23:59:00-05:00,
CP-SM-70-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-09T23:59:00-05:00,2025-02-07T00:00:00-05:00
CP-SM-33-2024-ELSE-1,2024-12-19T00:00:00-05:00,2024-12-19T00:00:00-05:00,2024-12-20T00:01:00-05:00,2025-01-13T23:59:00-05:00,2025-02-18T00:00:00-05:00
CP-SM-4-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-17T23:59:00-05:00,2025-02-18T00:00:00-05:00
AS-SM-79-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-02T23:59:00-05:00,2025-01-20T00:00:00-05:00
LP-SM-30-2024-ELSE-1,2024-12-17T00:00:00-05:00,2024-12-17T00:00:00-05:00,2024-12-18T00:01:00-05:00,2025-01-09T23:59:00-05:00,2025-02-14T00:00:00-05:00
LP-SM-7-2024-ELSE-1,2024-12-12T00:00:00-05:00,2024-12-12T00:00:00-05:00,2024-12-13T00:01:00-05:00,2025-01-03T23:59:00-05:00,
