NOMENCLATURA,TITULO,TIPO,FORMATO,URL,FECHA
LP-SM-31-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=9ecbd268-55e4-4931-9402-2e58bc4bf5de,2024-12-27T10:40:00-05:00
LP-SM-31-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=0661c513-e8c0-4116-b7f4-b82584b992ef,2024-12-27T10:40:00-05:00
LP-SM-31-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=a11d672e-0f35-4cd6-ad62-10e16fb34813,2025-01-24T12:52:54-05:00
LP-SM-31-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=7b0bcd82-45bd-4cd2-962f-28d85dd9bc89,2025-01-24T12:52:54-05:00
LP-SM-31-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=5ab6ef2b-c901-4690-850d-331fb9ab68ff,2025-02-25T16:41:25-05:00
LP-SM-31-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=fefafb13-7593-418d-8af7-b074a899ebb2,2025-02-25T16:41:26-05:00
LP-SM-31-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f2dc40ff-0503-4794-80fc-d8e066397c58,2025-02-25T16:41:26-05:00
LP-SM-31-2024-ELSE-1,Archivos del contrato,contractSigned,application/pdf,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152822426,2025-04-07T09:27:03-05:00
LP-SM-31-2024-ELSE-1,Archivos del contrato,contractSigned,application/pdf,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152822427,2025-04-07T09:27:02-05:00
LP-SM-31-2024-ELSE-1,Archivos de la garantía del contrato,contractAnnexe,application/pdf,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152822429,2025-04-07T09:29:10-05:00
CP-SM-15-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f0473621-adbb-43d4-bf78-c4f0b8916a57,2024-12-18T12:05:00-05:00
CP-SM-15-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=796ed2ce-6e6c-493f-b9bc-76aacc756d4e,2024-12-18T12:05:00-05:00
CP-SM-15-2024-ELSE-1,Acta de no formulación de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=4accca88-d4f9-4cdd-bdc0-3cb83c983a88,2025-01-10T08:37:51-05:00
